50,female
20,female
25,female
54,male
43,female
28,male
22,female
135,female
18,female
38,female
25,female
19,female
22,female
31,female
29,male
29,other
21,female
32,female
20,female
44,female
28,female
29,male
20,female
24,male
23,female
24,female
38,male
27,male
82,female
19,female
27,male
21,female
19,male
31,female
30,male
20,female
18,female
26,male
19,female
26,other
25,female
19,male
41,female
20,female
30,female
30,male
32,female
20,male
29,female
26,female
20,male
39,female
28,female
54,female
21,female
32,female
67,female
31,female
65,female
23,female
20,female
20,male
21,female
23,male
20,female
58,female
29,male
23,female
20,female
32,female
34,female
38,female
29,female
21,female
26,female
25,male
36,female
20,male
20,female
19,female
24,female
32,female
29,female
21,male
24,female
20,female
31,male
21,female
25,male
21,female
19,female
35,male
29,male
35,male
38,female
35,male
26,female
20,male
20,male
23,male
24,female
28,male
23,female
27,female
36,male
34,male
21,female
45,female
27,male
39,female
32,male
23,female
27,male
30,male
19,female
42,female
39,female
35,female
22,female
27,male
28,male
27,male
44,male
49,female
24,male
49,female
23,male
22,female
35,female
40,female
20,female
22,female
29,female
54,female
18,male
31,male
23,male
22,male
54,female
34,male
23,female
36,male
39,male
25,female
39,male
28,male
52,male
32,male
26,female
25,female
43,male
24,male
29,female
33,female
25,male
20,male
